TECHNICAL,BUISNESS & CAREERS,COMMUNICATION & MEDIA,DESIGN THINKING AND INNOVATION,HEALTH & WELLNESS,SOCIAL IMPACT,LAW & ETHICS,ARTS & CREATIVITY
Cognix,Finverse,Young Orator,Sci-Fi Innovation,NEXASOUL CLUB,Eco Gensis,Defence Club,Kala Verse
CloudStack,Marketing Brigade,The Voyage,Protostart Club,,Tourism,Ignite Youth Club,
Astronautics,Xcellence,Socratic Circle,Entrepreneurship,,BIOSPHERE CLUB,,
TokenTitan,C2C,Ascentia,,,,,
ROBOX,Event Crew,,,,,,
Virtuonix,Business & Careers,,,,,,
Tech Tatva,,,,,,,
Cysecsphere,,,,,,,
FPF,,,,,,,
AI FOR EVERYONE,,,,,,,
DROIDLINX,,,,,,,
CSquare,,,,,,,
Astronomy,,,,,,,
Vega Club,,,,,,,
Bizlticz,,,,,,,
Aerox,,,,,,,
Playnation,,,,,,,
AEROMODELLING CLUB,,,,,,,
NANOVERSE CLUB,,,,,,,
